Model,Accuracy,Precision_1,Recall_1,F1_1,ROC_AUC
Logistic Regression,0.7819656091264885,0.5520657672849916,0.12214915349097523,0.20003818980332252,0.7110789696409674
KNN,0.7567241235739862,0.4081088797944228,0.19999067207686208,0.268436208839364,0.6269544546995168
