,k_features,threshold,Accuracy,Precision_1,Recall_1,F1_1,ROC_AUC
XGBoost,19.0,0.49000000000000027,0.6595409716620261,0.364970938941818,0.7101964670903049,0.4821594664661297,0.7458263969911374
LightGBM,18.0,0.49000000000000027,0.6583960030185537,0.36444868052659796,0.7133446044423716,0.4824255327537603,0.7473572373288551
RandomForest,18.0,0.49000000000000027,0.6270654974108095,0.33875035023816197,0.7048329738238209,0.45758189353367523,0.7146307727367441
