k_features,threshold,Accuracy,Precision_1,Recall_1,F1_1,ROC_AUC
18,0.49000000000000027,0.6270654974108095,0.33875035023816197,0.7048329738238209,0.45758189353367523,0.7146307727367441
6,0.49000000000000027,0.6245543729995576,0.33753505289169006,0.7087389960939777,0.45728794432950914,0.710646888487023
16,0.49000000000000027,0.6283926201566525,0.3391336228777709,0.7010435492333703,0.4571287373362985,0.7141952919739526
17,0.49000000000000027,0.6262718259647662,0.33811802232854865,0.7044831807847024,0.4569311048929895,0.714115428275576
19,0.49000000000000027,0.6259985948112102,0.3379738342837974,0.7048329738238209,0.4568729333963155,0.7139569907668962
8,0.49000000000000027,0.6248276041531136,0.33741579914268216,0.7066985366991196,0.4567531415437367,0.7108282202884523
12,0.49000000000000027,0.6279892789299748,0.3387828734109423,0.7006937561942518,0.4567357020710621,0.7134000159248937
14,0.49000000000000027,0.6285877852663353,0.33897730163665657,0.6991196875182184,0.4565771939843899,0.7132822640834137
7,0.49000000000000027,0.6250097582554841,0.33729361892012494,0.7050661691832333,0.45629987360636876,0.7108475183224767
13,0.49000000000000027,0.6277680918056676,0.3384294257023581,0.6994694805573369,0.45615435795076514,0.7132544309156623
10,0.49000000000000027,0.6257904186942153,0.3373956407239312,0.7020929283507258,0.45576853936836526,0.7108799783900295
11,0.49000000000000027,0.6265710791329465,0.33772694058793773,0.7005771585145456,0.4557504503650327,0.7108970301049673
9,0.49000000000000027,0.6255692315699082,0.3372532549349013,0.702209526030432,0.4556631610804267,0.7107306189202764
15,0.49000000000000027,0.6243852299044992,0.33646920886605997,0.7026759167492567,0.45504483246814537,0.7127728124871399
5,0.49000000000000027,0.6192979260454344,0.33263291769194614,0.7013933422724887,0.4512583924083868,0.7026539886520022
