Fold,Accuracy,Precision,Recall,F1,ROC_AUC
1,0.6601194937130486,0.36529636481583816,0.7091417910447761,0.48219977482120485,0.7475462381938123
2,0.660046631692897,0.36506867438000623,0.7078494473205541,0.4817024788142318,0.7474820336630512
3,0.6608585227745857,0.3657937215409449,0.7081292850146915,0.4823981699180276,0.7476392326217816
4,0.6591931051711216,0.36448015349562296,0.7087822396343454,0.4814052204764318,0.7465089517105908
Mean,0.6600544383379132,0.3651597285581031,0.7084756907535918,0.481926411007474,0.7472941140473089
