Fold,Accuracy,Precision,Recall,F1,ROC_AUC
1,0.6590473811308185,0.3639838453771816,0.7062033582089552,0.4803769155112789,0.7451535909329439
2,0.6580585394287618,0.36339255782769025,0.7078028077048645,0.480230368811607,0.7456383252406248
3,0.6587142976101258,0.36379132355412575,0.7067300965440044,0.48033093479570166,0.7464273697230737
4,0.6562473977849946,0.3618716016407517,0.7077095284734853,0.47887901787827625,0.7442932946809276
Mean,0.6580169039886752,0.36325983209993734,0.7071114477328274,0.47995430924921595,0.7453781451443925
