Set,Accuracy,Precision,Recall,F1,ROC_AUC
Train,0.6719023232575568,0.3783322738720761,0.7309785143496782,0.4986028557945694,0.7681755729443485
Test,0.6601507202931135,0.3652343280352033,0.7084091227088288,0.48197626451735737,0.7485055035987013
