Model,Accuracy,Precision_1,Recall_1,F1_1,ROC_AUC
Logistic Regression (FE),0.7807905488042884,0.5386369394476818,0.1239433335276628,0.20151658767772512,0.7125999865259912
KNN (FE),0.7543521819459262,0.40190844030444167,0.20626129540022153,0.272615194945292,0.6343721459792209
