Metric,Train,Test
Accuracy,0.6658101031129038,0.6583960030185537
Precision,0.3719420681374756,0.36444868052659796
Recall,0.7224165573531555,0.7133446044423716
F1,0.4910586020706395,0.4824255327537603
ROC_AUC,0.7597692968602698,0.7473572373288551
