k_features,threshold,Accuracy,Precision_1,Recall_1,F1_1,ROC_AUC
18,0.49000000000000027,0.6583960030185537,0.36444868052659796,0.7133446044423716,0.4824255327537603,0.7473572373288551
16,0.49000000000000027,0.6586822451794218,0.36446952056839216,0.7117705357663382,0.4820832757497384,0.7476353873870027
19,0.49000000000000027,0.658487080069739,0.364298290113694,0.7117122369264851,0.4819201010579504,0.7472855640779899
17,0.49000000000000027,0.6571469463165839,0.36313314683649783,0.7113624438873667,0.48081962368239584,0.7472081346649789
15,0.49000000000000027,0.6568607041557157,0.3629281636536632,0.711595639246779,0.4806931180466673,0.7450475823940785
14,0.49000000000000027,0.6551432511905072,0.3616895409370563,0.7128782137235469,0.47989639135809736,0.744660042796846
13,0.49000000000000027,0.6530094459913086,0.3602314787615299,0.714918673118405,0.479070221701338,0.7442968026013244
10,0.49000000000000027,0.6521897525306409,0.3592027515653938,0.7123535241648691,0.4775845221809654,0.7421333951958837
11,0.49000000000000027,0.6512529600041636,0.3585685395234327,0.7132280067626654,0.47721953502886566,0.7423432475845979
12,0.49000000000000027,0.6508366077701736,0.3582740552091566,0.7135195009619308,0.477023814163776,0.7421988255251741
9,0.49000000000000027,0.6501340133753155,0.35765868491068037,0.7131697079228123,0.4764000311550744,0.7417938324045691
8,0.49000000000000027,0.648208384293112,0.3564353559706045,0.7153850638372297,0.47580457541682825,0.7404403248246727
7,0.49000000000000027,0.6461526451377866,0.3545293896115183,0.7134612021220778,0.4736801362440006,0.7391006090873942
6,0.49000000000000027,0.6425876291342476,0.35179705231706265,0.7138692940010494,0.47132409545804466,0.7355483779235159
5,0.49000000000000027,0.6341304743813266,0.3425955162614462,0.6957966536465924,0.4591267551452202,0.7160179589915483
